Match_ID,Player_ID,Event_Type,Minute,Season,Match_Date
M2023_001,P013,Assist,13,2023,2023-01-22
M2023_001,P012,Shot Off Target,78,2023,2023-01-22
M2023_001,P002,Shot On Target,59,2023,2023-01-22
M2023_001,P013,Foul,11,2023,2023-01-22
M2023_001,P021,Foul,80,2023,2023-01-22
M2023_001,P012,Freekick For,74,2023,2023-01-22
M2023_001,P003,Assist,6,2023,2023-01-22
M2023_001,P025,Yellow Card,38,2023,2023-01-22
M2023_001,P008,Substitution,13,2023,2023-01-22
M2023_001,P015,Shot Off Target,82,2023,2023-01-22
M2023_001,P006,Corner Against,48,2023,2023-01-22
M2023_001,P022,Shot Off Target,35,2023,2023-01-22
M2023_001,P022,Red Card,83,2023,2023-01-22
M2023_001,P021,Goal,22,2023,2023-01-22
M2023_001,P008,Foul,21,2023,2023-01-22
M2023_001,P009,Foul,82,2023,2023-01-22
M2023_001,P008,Yellow Card,88,2023,2023-01-22
M2023_001,P025,Shot On Target,8,2023,2023-01-22
M2023_001,P002,Shot On Target,41,2023,2023-01-22
M2023_001,P003,Shot Off Target,28,2023,2023-01-22
M2023_001,P019,Freekick For,41,2023,2023-01-22
M2023_001,P016,Shot On Target,51,2023,2023-01-22
M2023_001,P021,Freekick For,59,2023,2023-01-22
M2023_001,P005,Assist,32,2023,2023-01-22
M2023_001,P018,Corner For,34,2023,2023-01-22
M2023_001,P014,Corner For,75,2023,2023-01-22
M2023_001,P008,Shot Off Target,18,2023,2023-01-22
M2023_001,P003,Foul,7,2023,2023-01-22
M2023_001,P005,Freekick For,81,2023,2023-01-22
M2023_001,P022,Assist,55,2023,2023-01-22
M2023_001,P013,Foul,49,2023,2023-01-22
M2023_001,P015,Foul,68,2023,2023-01-22
M2023_001,P018,Shot On Target,2,2023,2023-01-22
M2023_001,P004,Yellow Card,88,2023,2023-01-22
M2023_001,P025,Freekick For,35,2023,2023-01-22
M2023_001,P011,Corner For,15,2023,2023-01-22
M2023_001,P006,Shot On Target,59,2023,2023-01-22
M2023_001,P024,Goal,34,2023,2023-01-22
M2023_001,P025,Substitution,23,2023,2023-01-22
M2023_001,P004,Foul,81,2023,2023-01-22
M2023_001,P021,Shot On Target,65,2023,2023-01-22
M2023_001,P005,Foul,48,2023,2023-01-22
M2023_001,P018,Corner For,68,2023,2023-01-22
M2023_001,P020,Freekick For,42,2023,2023-01-22
M2023_001,P004,Foul,47,2023,2023-01-22
M2023_001,P010,Freekick For,31,2023,2023-01-22
M2023_001,P019,Goal,11,2023,2023-01-22
M2023_001,P016,Goal,9,2023,2023-01-22
M2023_001,P018,Substitution,17,2023,2023-01-22
M2023_001,P016,Assist,71,2023,2023-01-22
M2023_001,P017,Assist,78,2023,2023-01-22
M2023_001,P007,Shot Off Target,70,2023,2023-01-22
M2023_001,P023,Corner For,26,2023,2023-01-22
M2023_001,P013,Red Card,86,2023,2023-01-22
M2023_001,P015,Yellow Card,67,2023,2023-01-22
M2023_001,P008,Foul,29,2023,2023-01-22
M2023_001,P001,Goal,76,2023,2023-01-22
M2023_001,P019,Foul,29,2023,2023-01-22
M2023_001,P023,Goal,81,2023,2023-01-22
M2023_001,P003,Goal,5,2023,2023-01-22
M2023_001,P003,Freekick For,66,2023,2023-01-22
M2023_001,P022,Shot On Target,63,2023,2023-01-22
M2023_001,P005,Shot On Target,74,2023,2023-01-22
M2023_001,P008,Foul,61,2023,2023-01-22
M2023_001,P007,Corner Against,13,2023,2023-01-22
M2023_001,P014,Goal,46,2023,2023-01-22
M2023_001,P015,Shot Off Target,7,2023,2023-01-22
M2023_001,P021,Yellow Card,13,2023,2023-01-22
M2023_001,P024,Goal,44,2023,2023-01-22
M2023_001,P004,Corner Against,32,2023,2023-01-22
M2023_001,P018,Assist,58,2023,2023-01-22
M2023_001,P006,Assist,36,2023,2023-01-22
M2023_001,P003,Foul,57,2023,2023-01-22
M2023_001,P018,Corner Against,13,2023,2023-01-22
M2023_001,P018,Goal,2,2023,2023-01-22
M2023_001,P025,Freekick Against,31,2023,2023-01-22
M2023_001,P016,Assist,62,2023,2023-01-22
M2023_001,P013,Shot On Target,8,2023,2023-01-22
M2023_001,P001,Assist,50,2023,2023-01-22
M2023_001,P015,Shot On Target,37,2023,2023-01-22
M2023_001,P024,Shot Off Target,72,2023,2023-01-22
M2023_001,P016,Yellow Card,20,2023,2023-01-22
M2023_001,P007,Assist,8,2023,2023-01-22
M2023_001,P018,Foul,8,2023,2023-01-22
M2023_001,P002,Corner For,7,2023,2023-01-22
M2023_001,P017,Foul,68,2023,2023-01-22
M2023_001,P017,Assist,11,2023,2023-01-22
M2023_001,P003,Freekick For,77,2023,2023-01-22
M2023_001,P008,Goal,52,2023,2023-01-22
M2023_001,P019,Assist,32,2023,2023-01-22
M2023_001,P002,Foul,80,2023,2023-01-22
M2023_002,P019,Shot Off Target,73,2023,2023-01-29
M2023_002,P009,Foul,27,2023,2023-01-29
M2023_002,P011,Yellow Card,31,2023,2023-01-29
M2023_002,P005,Shot On Target,86,2023,2023-01-29
M2023_002,P015,Yellow Card,41,2023,2023-01-29
M2023_002,P003,Freekick Against,2,2023,2023-01-29
M2023_002,P019,Foul,13,2023,2023-01-29
M2023_002,P007,Goal,65,2023,2023-01-29
M2023_002,P012,Shot On Target,9,2023,2023-01-29
M2023_002,P012,Freekick For,37,2023,2023-01-29
M2023_002,P018,Assist,39,2023,2023-01-29
M2023_002,P021,Foul,68,2023,2023-01-29
M2023_002,P018,Goal,39,2023,2023-01-29
M2023_002,P004,Freekick Against,18,2023,2023-01-29
M2023_002,P004,Shot On Target,71,2023,2023-01-29
M2023_002,P010,Assist,78,2023,2023-01-29
M2023_002,P011,Shot On Target,27,2023,2023-01-29
M2023_002,P009,Yellow Card,65,2023,2023-01-29
M2023_002,P002,Foul,12,2023,2023-01-29
M2023_002,P009,Yellow Card,6,2023,2023-01-29
M2023_002,P025,Goal,17,2023,2023-01-29
M2023_002,P009,Yellow Card,21,2023,2023-01-29
M2023_002,P018,Corner For,55,2023,2023-01-29
M2023_002,P004,Foul,10,2023,2023-01-29
M2023_002,P023,Freekick Against,20,2023,2023-01-29
M2023_002,P012,Foul,75,2023,2023-01-29
M2023_002,P014,Foul,17,2023,2023-01-29
M2023_002,P012,Goal,6,2023,2023-01-29
M2023_002,P007,Freekick For,88,2023,2023-01-29
M2023_002,P004,Shot On Target,46,2023,2023-01-29
M2023_002,P014,Corner For,80,2023,2023-01-29
M2023_002,P008,Corner For,21,2023,2023-01-29
M2023_002,P006,Substitution,53,2023,2023-01-29
M2023_002,P024,Goal,43,2023,2023-01-29
M2023_002,P014,Corner For,86,2023,2023-01-29
M2023_002,P008,Freekick For,35,2023,2023-01-29
M2023_002,P023,Assist,14,2023,2023-01-29
M2023_002,P002,Shot Off Target,61,2023,2023-01-29
M2023_002,P015,Shot On Target,45,2023,2023-01-29
M2023_002,P008,Shot On Target,29,2023,2023-01-29
M2023_002,P007,Goal,52,2023,2023-01-29
M2023_002,P003,Shot On Target,36,2023,2023-01-29
M2023_002,P017,Shot Off Target,52,2023,2023-01-29
M2023_002,P018,Yellow Card,43,2023,2023-01-29
M2023_002,P004,Freekick Against,34,2023,2023-01-29
M2023_002,P009,Assist,5,2023,2023-01-29
M2023_002,P014,Assist,45,2023,2023-01-29
M2023_002,P011,Corner For,56,2023,2023-01-29
M2023_002,P017,Foul,15,2023,2023-01-29
M2023_002,P019,Shot Off Target,25,2023,2023-01-29
M2023_002,P023,Shot On Target,56,2023,2023-01-29
M2023_002,P018,Goal,88,2023,2023-01-29
M2023_002,P024,Red Card,86,2023,2023-01-29
M2023_002,P014,Assist,9,2023,2023-01-29
M2023_002,P011,Freekick Against,80,2023,2023-01-29
M2023_002,P004,Shot On Target,39,2023,2023-01-29
M2023_002,P022,Foul,53,2023,2023-01-29
M2023_002,P023,Shot On Target,38,2023,2023-01-29
M2023_002,P007,Foul,54,2023,2023-01-29
M2023_002,P013,Yellow Card,87,2023,2023-01-29
M2023_002,P006,Corner For,79,2023,2023-01-29
M2023_002,P013,Foul,71,2023,2023-01-29
M2023_002,P010,Corner Against,37,2023,2023-01-29
M2023_002,P019,Shot On Target,78,2023,2023-01-29
M2023_002,P015,Yellow Card,57,2023,2023-01-29
M2023_002,P007,Shot Off Target,66,2023,2023-01-29
M2023_002,P024,Foul,22,2023,2023-01-29
M2023_002,P010,Yellow Card,66,2023,2023-01-29
M2023_002,P020,Yellow Card,43,2023,2023-01-29
M2023_002,P025,Goal,31,2023,2023-01-29
M2023_002,P008,Yellow Card,26,2023,2023-01-29
M2023_002,P002,Assist,32,2023,2023-01-29
M2023_002,P020,Substitution,10,2023,2023-01-29
M2023_002,P021,Foul,74,2023,2023-01-29
M2023_002,P023,Assist,50,2023,2023-01-29
M2023_003,P005,Shot Off Target,84,2023,2023-02-05
M2023_003,P025,Yellow Card,14,2023,2023-02-05
M2023_003,P008,Corner For,23,2023,2023-02-05
M2023_003,P023,Corner Against,67,2023,2023-02-05
